,VMB_1,VMB_2,VMB_3,VMB_4,VMB_5,VMB_6,VMB_7,VMB_8,VMB_9,VMB_10,VMB_11,VMB_12,VMB_13,VMB_14,VMB_15,VMB_16,VMB_17,VMB_18,VMB_19,VMB_20,VMB_21,VMB_22,VMB_23,VMB_24,VMB_25,VMB_26,VMB_27,VMB_28,VMB_29,VMB_30,VMB_31,VMB_32,VMB_33,VMB_34,VMB_35,VMB_36,VMB_37,VMB_38,VMB_39,VMB_40,VMB_41,VMB_42,VMB_43,VMB_44,VMB_45,VMB_46,VMB_47,VMB_48,VMB_49,VMB_50,VMB_51,VMB_52,VMB_53,VMB_54,VMB_55,VMB_56,VMB_57,VMB_58,VMB_59,VMB_60,VMB_61,VMB_62,VMB_63,VMB_64,VMB_65,VMB_66,VMB_67,VMB_68,VMB_69,VMB_70,VMB_71,VMB_72,VMB_73,VMB_74,VMB_75,VMB_76,VMB_77,VMB_78,VMB_79,VMB_80,VMB_81,VMB_82,VMB_83,VMB_84,VMB_85,VMB_86,VMB_87,VMB_88,VMB_89,VMB_90,VMB_91,VMB_92,VMB_93,VMB_94,VMB_95,VMB_96,VMB_97,VMB_98,VMB_99,VMB_100
Lactobacillus_crispatus,31428,185,11,2,4309,6,0,0,77790,18,17935,38529,0,28552,15,198,4,1,7,55,90,5,20,0,0,0,10,0,31081,1,31372,1922,2,11497,598,8,6,65,45,47,13453,2,0,1,0,13505,19,0,14573,7088,2,53,5114,8,96,31868,5,22040,0,0,0,4,1,16646,0,11,0,0,17880,0,6,0,1075,1,0,27471,1,14,33,0,14849,28374,42,28,8,3,27,0,3,0,8,1,3972,3,245,31957,1,62,3,74
Ureaplasma,2870,10,426,142,90,0,1,8,0,3,12,0,3,0,0,2,167,3,0,0,242,0,0,0,2,3,0,0,0,0,27,4,0,1,46,20,28,10,0,0,0,2,17,0,2,0,0,28,138,0,40,16,240,2,10,0,124,0,1,245,0,0,0,34,112,0,1719,0,39,1,2,12,0,33,0,0,38,1,0,0,0,0,0,87,0,0,490,2,0,0,43,39,723,360,1,0,8,41,1771,24
Lactobacillus_gasseri,73,7230,30201,10,17,0,0,0,0,1,0,5,0,0,3362,0,0,2,0,0,0,5,42,1,0,0,3,0,7,0,0,37,0,13,4,1,0,0,1,2,0,5,5826,2,0,1,116,0,71,16,0,0,78,1958,0,13,23,212,0,1,33,0,0,71,741,0,67,0,5,0,27,1,4,3,0,0,0,2,0,0,0,46,39,171,0,2,5,0,0,0,6,13387,2,0,0,0,0,7,1,21
Lachnospiraceae,30,30,6,3,14,1,25,3506,1,2738,1,2,10954,0,68,11870,12257,44,5,480,1,1,8259,171,4,3,0,5,3,1,0,663,25902,8,1856,3,1,19309,35516,1,23,44,25,19980,4,55,376,2491,28,1934,4,6672,0,1,17393,0,0,38,48,17,0,1,24,0,2,0,27,8,0,10523,1,1,7,82,3,0,0,43,157,3113,1,1,0,6,13,0,31,7,10,10668,1,0,80,0,0,0,13257,6,2,30174
Atopobium,12,6,6,2,2,545,19,549,5,269,1,0,130,0,0,1058,4198,3638,1000,8,5,0,241,160,877,1153,0,1782,1,722,3,1,170,5,2199,1,768,25,64,2,0,2183,3,63,1526,4099,634,19,7,41,1460,2415,308,0,20,0,1,1,1286,1163,0,0,4,0,105,3117,2,0,0,416,0,0,16,128,0,0,49,28,1970,1745,1,3,1,99,769,402,63,971,6908,5,0,228,22,3,2,1,144,2,4,34
Gardnerella,10,14,138,42,13,1653,123,4180,76,3353,33,134,1401,1,50,5370,10207,18270,30171,42,12957,7,1193,96,10991,8627,2,4261,0,10731,16,258,68,20,2878,4,2562,1812,531,7228,34,24063,4,306,24830,0,5129,14971,39,160,1869,11342,20201,23215,1029,1,95,3,5429,14893,0,6,6,19,4130,31565,20038,10,2,5001,3,0,140,6260,12,8,2442,69,616,7019,1,25,159,2197,4426,11501,5,14560,6125,1340,4,13976,16146,4203,9,5,4842,66,29,1652
Lactobacillus_iners,9,16151,42,26573,13157,8291,167,90,27,1254,16238,11,419,1789,23851,440,595,2372,33,23,19,18746,89,489,1757,4626,35371,6922,31,5647,2,129,6,11166,12852,31657,417,74,307,3,35,3870,30729,221,8795,1,1352,9001,9137,94,8036,42,23,4,976,381,36881,6,5,4435,11538,35960,12542,55,12163,40,6,8,1,45,34555,21815,24943,4298,11,12,33487,56,1695,106,56,4,78,20088,103,26303,18057,830,796,24,27720,3,5092,4,22962,285,20,18442,41,159
Enterococcus,7,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,6329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Methylophilus,7,44,0,0,0,0,0,0,129,0,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,22,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,14,0,1,0,0,2,0,0,0,0,1,261,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Comamonadaceae,1,1,0,0,0,0,0,0,9,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurantimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_Lactobacillus,1,0,0,277,29,1,0,0,0,0,64,4,0,1,0,0,0,0,0,3,40,151,0,0,0,0,1,0,8,0,66,5,0,139,0,0,0,2,0,171,14,0,11,0,0,136,0,19,12,30,0,0,5,29,0,81,91,11,0,0,7,0,0,5,10,0,0,0,0,0,159,63,153,7,0,1,0,17,0,0,42,49,0,1,0,0,0,0,0,0,1,117,10,22,1,1,0,1,0,0
Sneathia,1,10,3,0,0,240,3,330,4,2076,4,0,11,0,17,201,1058,6106,481,45,0,2,1019,27766,0,183,8,1441,0,878,7,301,65,2,133,0,2139,1518,34,1,0,3673,5,16,3,0,10668,3081,6,140,2781,430,0,2,35,0,0,5,2860,60,0,0,0,2,0,387,1,0,0,1374,0,0,0,157,1,1,15,37,2398,3590,0,3,391,80,3178,138,0,259,2481,158,0,1,8,14,1,2,490,14,18,75
Treponema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus,0,1,0,5,2,0,0,14,2,10,1,0,3,0,0,6,125,50,1,0,0,0,99,266,13,22,0,29,0,2,0,299,13,0,4,0,49,7,21,2,0,5,0,1,0,0,0,23,4,2,27,0,0,0,0,0,3,0,722,6,0,0,6,1,0,2,114,2,0,8,0,1,0,11,0,0,0,54,0,98,0,0,0,39,174,4,0,14,0,0,0,0,0,0,0,0,22,1,2,5
Bradyrhizobiaceae,1,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,2,0,0,0,0,0,137,15,0,0,89,0,0,0,42,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae,1,0,0,0,0,0,0,0,0,53,1,0,18,0,0,0,599,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,382,0,6,0,0,3,0,0,0,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,901,25,0,0,0,0,0,0,202,0,0,0
Megasphaera,1,0,0,0,1,1921,9,161,8,71,0,0,192,2,1,129,700,705,626,3,0,0,195,41,110,933,0,299,1,410,1,1,19,2,366,0,25,256,311,0,0,739,1,86,184,0,293,415,17,10,422,376,1,0,524,0,0,0,165,0,0,0,0,0,2,276,1,0,0,239,0,0,0,11,0,1,182,0,204,201,1,1,0,4,0,219,0,216,809,42,0,0,6,0,0,0,127,2,0,169
Prevotella,1,17,13,16,23,6448,8,513,2,5350,13,4,329,0,19,328,1032,4731,260,8,0,0,15942,13245,5714,2583,5,5685,92,62,6,2828,1211,3,149,0,736,613,411,2,2,1506,5,557,2610,117,403,275,41,148,8512,1002,5,9,1242,1,4,2,4309,169,0,0,116,4,258,605,6133,0,8,1140,3,1,4,33,0,2,33,107,4269,446,0,0,116,1249,6614,447,11,899,3081,24,3,0,22,9,1,7,853,5,4,517
Lactobacillus_jensenii,0,26,0,0,210,1,0,0,2,5,144,0,0,0,7,0,0,1,0,12,16852,5065,21,0,2,0,0,0,128,1,0,35,0,199,2,1,0,0,0,7743,211,0,0,1,0,0,0,10,81,1,2,1,575,24,2,144,29,2,0,1,1840,0,0,37,2453,2,1,0,0,0,3,5501,0,0,0,35,0,14609,4,0,105,493,0,1,0,2,3,0,8,0,169,0,648,12090,1,55,0,15,0,0
Fusobacterium,0,4,1,15,0,0,0,2,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,985,2,0,0,0,0,0,0,3,1,0,2,0,6,4942,0,2,0,0,0,12,1,0,261,1,0,1,2379,0,0,0,0,0,0,0,1995,0,0,0,5,0,0,1,191,4,0,1,0,1,0,0,0,0,0,6,0,10,0,0,0,2,26,0,0,0,0,0,0,0,0,2,0,0,0,18,1,0
Clostridiales,0,0,0,4,0,54,1,146,0,158,0,0,37,0,18,197,283,540,557,2,0,0,166,9,1692,2496,0,369,0,0,0,10,144,0,207,0,146,76,35,0,0,1,0,5,0,0,246,10,1,79,53,286,0,1,22,0,0,0,959,7,0,0,5,0,0,168,17,0,0,448,2,0,0,30,0,0,17,0,438,393,0,0,0,4,581,125,0,56,190,40,0,0,0,1,0,2,23,1,2,75
Finegoldia,0,2,0,19,8,0,0,0,0,3,0,0,0,0,0,0,31,1,0,0,0,2,7,1,0,4,0,0,0,0,0,759,0,0,0,1,12,1,0,5,1,2,0,0,3,1,106,1,5,36,0,0,0,0,0,0,3,0,25,2,0,2,51,0,1,0,35,0,0,0,0,0,0,7,0,0,0,36,0,0,0,0,0,168,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0
Mobiluncus,0,1,0,0,0,30,0,0,1,20,0,0,0,0,4,5,0,3,40,0,0,0,406,0,21,0,0,7,0,113,0,4,2,0,0,0,3,1476,176,0,0,15,0,31,7,0,72,289,0,30,0,50,0,0,0,0,0,0,137,0,0,0,0,0,0,15,5,0,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,4,2,0,0,9,0,2,101
Coriobacteriaceae,0,1,0,0,0,126,0,362,0,165,0,0,137,0,3,241,885,143,244,5,0,0,40,79,128,501,0,166,0,126,2,0,31,1,194,0,654,71,12,0,0,126,0,11,0,0,365,32,0,319,195,1720,0,0,13,0,0,0,409,0,0,0,0,0,63,367,0,0,0,1357,0,0,0,3,0,0,17,6,270,217,0,0,0,178,203,14,0,218,211,172,0,0,8,1,0,0,143,0,0,79
Porphyromonas,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,401,67,1,2,0,22,0,0,0,5,2,0,1,0,0,0,0,0,0,1,0,1,7,2,0,0,0,6,128,0,0,1,0,5,0,0,227,4,0,0,0,0,0,0,138,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,77,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1
Dialister,0,0,4,2,4,52,1,59,0,132,0,0,42,0,5,132,505,457,52,329,0,1,2712,282,314,257,0,80,1,22,1,101,32,2,46,0,152,52,22,6,0,140,0,78,93,36,269,131,5,84,283,91,3,0,6,0,0,0,1930,54,0,0,4,0,58,196,217,0,3,127,0,0,0,9,0,0,9,54,148,305,2,0,0,77,848,108,4,110,264,35,0,0,0,0,0,0,121,3,2,138
Eubacterium,0,0,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutterella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,254,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Anaerococcus,0,0,0,15,9,0,0,0,0,7,0,0,0,0,0,1,5,27,10,0,0,0,8,18,0,131,0,11,0,0,0,5791,10,1,0,1,15,0,0,0,1,16,0,2,197,0,195,1,52,15,44,0,0,0,0,0,7,0,369,14,0,3,22,0,0,3,859,0,1,3,0,0,0,10,0,0,0,73,0,44,0,0,0,218,92,3,0,4,64,0,0,0,1,0,0,0,1,0,10,0
